style name
Smoke Beer (Lager or Ale)
Sour Pale Ale
Bamberg-Style Bock Rauchbier
Singel
American Stout
Specialty Stouts
Belgian-Style Pale Strong Ale
Wood- and Barrel-Aged Strong Beer
South German-Style Dunkel Weizen / Dunkel Weissbier
Belgian Single
German-Style Kölsch / Köln-Style Kölsch
Sour Ale w/ Blueberries and Grapes
German-Style Oktoberfest / Wiesen (Meadow)
Belgian Single with Guava
Scotch Ale
Pale Ale
American-Style Pale Ale
Fresh “Wet” Hop Ale
American Sour
Blood Orange Cranberry (Tonic)
Coffee-Flavored Beer
Fruit Cider
English-Style Summer Ale
Blonde - Dry Hopped
Leipzig-Style Gose
Brown Ale with Coffee
Irish-Style Red Ale
German-Style Märzen
Sweet or Cream Stout
Fruit Beer
Light American Wheat Ale or Lager without Yeast
Pumpkin Beer
English-Style Pale Mild Ale
Foreign (Export)-Style Stout
Open Category Mead
Baltic-Style Porter
Pale Ale  (Unfiltered)
Farmhouse Ale (Sour - Fruited)
South German-Style Kristall Weizen / Kristall Weissbier
International-Style Pilsener
Wood- and Barrel-Aged Pale to Amber Beer
Belgian Wit
Belgian-Style Gueuze Lambic
Semi-Sweet Mead
Common Cider
Golden Ale with Coffee
Double IPA (Hazy)
German-Style Eisbock
Field Beer
Mixed Culture Brett Beer
Other Fruit Melomel
American-Style Amber/Red Ale
Common Perry
Belgian-Style Blonde Ale
Non-Alcoholic (Beer) Malt Beverages
American-Style Amber (Low Calorie) Lager
Wild Beer
Belgian Blonde
Energy Enhanced Malt Beverage
Herb and Spice Beer
American-Style Barley Wine Ale
English-Style Dark Mild Ale
European-Style Dark / Münchner Dunkel
Chili Pepper Beer
Australian-Style Pale Ale
American-Style Light (Low Calorie) Lager
Belgian-Style Pale Ale
Scottish-Style Light Ale
South German-Style Hefeweizen / Hefeweissbier
Other Strong Ale or Lager
Chocolate / Cocoa-Flavored Beer
Barrel Aged Tripel
Gose w/ Calamansi Lime
English-Style Brown Ale
Session IPA
Scottish-Style Export Ale
Adambier
South German-Style Weizenbock / Weissbock
Fruited Gose
German-Style Altbier
Wood- and Barrel-Aged Sour Beer
Specialty Honey Lager or Ale
Imperial Stout
American-Style Imperial Porter
Wood- and Barrel-Aged Beer
Strong Ale
Contemporary Gose
Belgian Quad
Nitro Stout
Dortmunder / European-Style Export
Grodziskie
Saison
New England Pale Ale
Dutch-Style Kuit. Kuyt or Koyt
Belgian Style Imperial Stout
American-Style India Pale Ale
Wit/White Ale
American IPA
Münchner (Munich)-Style Helles
Fruit Wheat Ale or Lager with or without Yeast
Session Beer
Barrel Aged Tart Farmhouse Ale
Brown Porter
Imperial Dark Sour (Fruited)
Dry Lager
Belgian Strong
American-Style Low-Carbohydrate Light Lager
Australasian. Latin American or Tropical-Style Light Lager
French Cider
Quadrupel
French & Belgian-Style Saison
Amber
Old Ale
Belgian-Style Tripel
Sweet Mead
Rye Ale or Lager with or without Yeast
Herbed / Spiced Beer
Ordinary Bitter
English Cider
Farmhouse Ale (Beer/Wine/Mead Hybrid)
Belgian-Style Quadrupel
American-Style Sour Ale
British-Style Imperial Stout
Smoke Porter
Belgian-Style White (or Wit) / Belgian-Style Wheat
Farmhouse Ale (Tart - Fruited)
Specialty Beer
Light American Wheat Ale or Lager with Yeast
Kellerbier (Cellar beer) or Zwickelbier - Lager
New England Cider
Spiced Beer
Dark American Wheat Ale or Lager with Yeast
Belgian-Style Dark Strong Ale
Brett Beer
Other Belgian-Style Ales
Robust Porter
Wood- and Barrel-Aged Dark Beer
Imperial or Double India Pale Ale
German-Style Heller Bock/Maibock
Bamberg-Style Märzen Rauchbier
American-Style Wheat Wine Ale
Traditional Perry
American-Style Cream Ale or Lager
Dark American Wheat Ale or Lager without Yeast
German-Style Rye Ale (Roggenbier) with or without Yeast
Golden or Blonde Ale
Experimental Beer (Lager or Ale)
Indigenous Beer (Lager or Ale)
